symbol	category	provider_object	provider_candidate_count	pc_status
GXSetTevAlphaOp	RVL/platform	RVL_SDK/gx/GXTev.o	1	Aurora subsystem present; retail API compatibility incomplete
GXSetTevColor	RVL/platform	RVL_SDK/gx/GXTev.o	1	Aurora subsystem present; retail API compatibility incomplete
GXSetTevColorIn	RVL/platform	RVL_SDK/gx/GXTev.o	1	Aurora subsystem present; retail API compatibility incomplete
GXSetTevColorOp	RVL/platform	RVL_SDK/gx/GXTev.o	1	Aurora subsystem present; retail API compatibility incomplete
GXSetTevColorS10	RVL/platform	RVL_SDK/gx/GXTev.o	1	Aurora subsystem present; retail API compatibility incomplete
GXSetTevOp	RVL/platform	RVL_SDK/gx/GXTev.o	1	Aurora subsystem present; retail API compatibility incomplete
GXSetTevOrder	RVL/platform	RVL_SDK/gx/GXTev.o	1	Aurora subsystem present; retail API compatibility incomplete
GXSetTexCopyDst	RVL/platform	RVL_SDK/gx/GXFrameBuf.o	1	Aurora subsystem present; retail API compatibility incomplete
GXSetTexCopySrc	RVL/platform	RVL_SDK/gx/GXFrameBuf.o	1	Aurora subsystem present; retail API compatibility incomplete
GXSetViewport	RVL/platform	RVL_SDK/gx/GXTransform.o	1	Aurora subsystem present; retail API compatibility incomplete
GXSetVtxAttrFmt	RVL/platform	RVL_SDK/gx/GXAttr.o	1	Aurora subsystem present; retail API compatibility incomplete
GXSetVtxDesc	RVL/platform	RVL_SDK/gx/GXAttr.o	1	Aurora subsystem present; retail API compatibility incomplete
GXSetZCompLoc	RVL/platform	RVL_SDK/gx/GXPixel.o	1	Aurora subsystem present; retail API compatibility incomplete
GXSetZMode	RVL/platform	RVL_SDK/gx/GXPixel.o	1	Aurora subsystem present; retail API compatibility incomplete
GXSetZScaleOffset	RVL/platform	RVL_SDK/gx/GXTransform.o	1	Aurora subsystem present; retail API compatibility incomplete
GXTexModeSync	RVL/platform	RVL_SDK/gx/GXMisc.o	1	Aurora subsystem present; retail API compatibility incomplete
J3DCalcViewBaseMtx__FPA4_fRC3VecRA3_A4_CfPA4_f	J3D/model/animation	JSystem/J3DGraphAnimator/J3DMtxBuffer.o	1	PC JSystem/Aurora provider requires API audit
J3DFifoLoadNrmMtxImm__FPA4_fUl	J3D/model/animation	JSystem/J3DGraphBase/J3DGD.o	1	PC JSystem/Aurora provider requires API audit
J3DFifoLoadPosMtxImm__FPA4_fUl	J3D/model/animation	JSystem/J3DGraphBase/J3DGD.o	1	PC JSystem/Aurora provider requires API audit
J3DPSCalcInverseTranspose__FPA4_fPA3_f	J3D/model/animation	JSystem/J3DGraphBase/J3DTransform.o	1	PC JSystem/Aurora provider requires API audit
J3DPSMtxArrayConcat__FPA4_fPA4_fPA4_fUl	J3D/model/animation	JSystem/J3DGraphBase/J3DTransform.o	1	PC JSystem/Aurora provider requires API audit
JMAAcosRadian__Ff	other Game/runtime provider	Game/Camera/CameraCalc.o	1	PC Game source absent
JPASetRMtxTVecfromMtx__FPA4_CfPA4_fPQ29JGeometry8TVec3<f>	effects/audio	JSystem/JParticle/JPAMath.o	1	PC JSystem/Aurora provider requires API audit
OSGetTime	RVL/platform	RVL_SDK/os/OSTime.o	1	Aurora subsystem present; retail API compatibility incomplete
OSLockMutex	RVL/platform	RVL_SDK/os/OSMutex.o	1	Aurora subsystem present; retail API compatibility incomplete
OSUnlockMutex	RVL/platform	RVL_SDK/os/OSMutex.o	1	Aurora subsystem present; retail API compatibility incomplete
PI__Q29JGeometry8TUtil<f>Fv	J3D/model/animation	Game/Camera/CameraCover.o	1	PC Game source absent
PSMTXConcat	RVL/platform	RVL_SDK/mtx/mtx.o	1	Aurora subsystem present; retail API compatibility incomplete
PSMTXCopy	RVL/platform	RVL_SDK/mtx/mtx.o	1	Aurora subsystem present; retail API compatibility incomplete
PSMTXIdentity	RVL/platform	RVL_SDK/mtx/mtx.o	1	Aurora subsystem present; retail API compatibility incomplete
PSMTXInverse	RVL/platform	RVL_SDK/mtx/mtx.o	1	Aurora subsystem present; retail API compatibility incomplete
PSMTXMultVec	RVL/platform	RVL_SDK/mtx/mtxvec.o	1	Aurora subsystem present; retail API compatibility incomplete
PSMTXMultVecSR	RVL/platform	RVL_SDK/mtx/mtxvec.o	1	Aurora subsystem present; retail API compatibility incomplete
PSMTXRotAxisRad	RVL/platform	RVL_SDK/mtx/mtx.o	1	Aurora subsystem present; retail API compatibility incomplete
PSMTXRotRad	other Game/runtime provider	Game/System/Overwrite.o	1	PC Game source absent
PSMTXScale	RVL/platform	RVL_SDK/mtx/mtx.o	1	Aurora subsystem present; retail API compatibility incomplete
PSMTXTrans	RVL/platform	RVL_SDK/mtx/mtx.o	1	Aurora subsystem present; retail API compatibility incomplete
PSVECCrossProduct	RVL/platform	RVL_SDK/mtx/vec.o	1	Aurora subsystem present; retail API compatibility incomplete
PSVECMag	RVL/platform	RVL_SDK/mtx/vec.o	1	Aurora subsystem present; retail API compatibility incomplete
PSVECNormalize	RVL/platform	RVL_SDK/mtx/vec.o	1	Aurora subsystem present; retail API compatibility incomplete
PSVECSubtract__14JMathInlineVECFPC3VecPC3VecP3Vec	J3D/model/animation	Game/AreaObj/AreaForm.o	1	PC Game source byte-identical, included
__GDCurrentDL	RVL/platform	RVL_SDK/gd/GDBase.o	1	Aurora subsystem present; retail API compatibility incomplete
__ami__Q29JGeometry8TVec3<f>FRCQ29JGeometry8TVec3<f>	J3D/model/animation	Game/AreaObj/CameraRepulsiveArea.o	1	PC Game source absent
__amu__Q29JGeometry8TVec3<f>Ff	J3D/model/animation	Game/AreaObj/MercatorTransformCube.o	1	PC Game source absent
__apl__Q29JGeometry8TVec3<f>FRCQ29JGeometry8TVec3<f>	J3D/model/animation	Game/Animation/XanimeCore.o	1	PC Game source absent
__as__8_GXColorFRC8_GXColor	effects/audio	Game/Effect/MultiEmitterCallBack.o	1	PC Game source absent
__as__Q29JGeometry8TVec3<f>FRCQ29JGeometry8TVec3<f>	J3D/model/animation	Game/Animation/XanimeCore.o	1	PC Game source absent
__construct_new_array	compiler/MSL runtime	Runtime/NMWException.o	1	native compiler/runtime mapping
__ct<f>__Q29JGeometry8TVec3<f>Ffff_Pv	J3D/model/animation	Game/Animation/XanimeCore.o	1	PC Game source absent
__ct__10JUTTextureFii9_GXTexFmt	other Game/runtime provider	JSystem/JUtility/JUTTexture.o	1	PC JSystem/Aurora provider requires API audit
__ct__10PartsModelFP9LiveActorPCcPCcPA4_fib	J3D/model/animation	Game/LiveActor/PartsModel.o	1	PC Game source byte-identical, included
__ct__11GravityInfoFv	other Game/runtime provider	Game/Gravity/GravityInfo.o	1	PC Game source byte-identical, included
__ct__12XanimePlayerFP8J3DModelP19XanimeResourceTable	resources	Game/Animation/XanimePlayer.o	1	PC Game source absent
__ct__12XanimePlayerFP8J3DModelP19XanimeResourceTableP12XanimePlayer	resources	Game/Animation/XanimePlayer.o	1	PC Game source absent
__ct__13FixedPositionFPC9LiveActorPCcRCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>	J3D/model/animation	Game/Util/FixedPosition.o	1	PC Game source byte-identical, excluded
__ct__13HashSortTableFUl	other Game/runtime provider	Game/Util/HashUtil.o	1	PC Game source absent
__ct__14CollectCounterFPCc	other Game/runtime provider	Game/MapObj/CollectCounter.o	1	PC Game source absent
__ct__19XanimeResourceTableFP14ResourceHolderP15XanimeGroupInfoP13XanimeAuxInfoP13XanimeOfsInfoP14XanimeBckTableP15XanimeBckTable2P15XanimeBckTable3P15XanimeBckTable4P15XanimeSwapTable	resources	Game/Animation/XanimeResource.o	1	PC Game source absent
__ct__7HitInfoFv	Binder/KCL	Game/Map/HitInfo.o	1	PC Game source absent
__ct__7IceStepFPCc	other Game/runtime provider	Game/MapObj/IceStep.o	1	PC Game source absent
__ct__7NameObjFPCc	LiveActor/NameObj/Nerve ABI	Game/NameObj/NameObj.o	1	PC Game source divergent, included
__ct__8ModelObjFPCcPCcPA4_fiiib	J3D/model/animation	Game/LiveActor/ModelObj.o	1	PC Game source divergent, included
__ct__8TriangleFv	Binder/KCL	Game/Map/HitInfo.o	1	PC Game source absent
__ct__9FootPrintFPCcll	other Game/runtime provider	Game/Util/FootPrint.o	1	PC Game source absent
__ct__9LiveActorFPCc	LiveActor/NameObj/Nerve ABI	Game/LiveActor/LiveActor.o	1	PC Game source divergent, included
__ct__9WaterInfoFv	other Game/runtime provider	Game/Map/WaterInfo.o	1	PC Game source absent
__ct__Q213NrvMarioActor17MarioActorNrvWaitFv	other Game/runtime provider	Game/Camera/CamHeliEffector.o	1	PC Game source absent
__ct__Q213NrvMarioActor19MarioActorNrvNoRushFv	other Game/runtime provider	Game/Camera/CamHeliEffector.o	1	PC Game source absent
__ct__Q213NrvMarioActor21MarioActorNrvGameOverFv	other Game/runtime provider	Game/Camera/CamHeliEffector.o	1	PC Game source absent
__ct__Q213NrvMarioActor21MarioActorNrvTimeWaitFv	other Game/runtime provider	Game/Camera/CamHeliEffector.o	1	PC Game source absent
__ct__Q213NrvMarioActor25MarioActorNrvGameOverFireFv	other Game/runtime provider	Game/Camera/CamHeliEffector.o	1	PC Game source absent
__ct__Q213NrvMarioActor25MarioActorNrvGameOverSinkFv	other Game/runtime provider	Game/Camera/CamHeliEffector.o	1	PC Game source absent
__ct__Q213NrvMarioActor26MarioActorNrvGameOverAbyssFv	other Game/runtime provider	Game/Camera/CamHeliEffector.o	1	PC Game source absent
__ct__Q213NrvMarioActor27MarioActorNrvGameOverAbyss2Fv	other Game/runtime provider	Game/Camera/CamHeliEffector.o	1	PC Game source absent
__ct__Q213NrvMarioActor28MarioActorNrvGameOverNonStopFv	other Game/runtime provider	Game/Camera/CamHeliEffector.o	1	PC Game source absent
__ct__Q213NrvMarioActor30MarioActorNrvGameOverBlackHoleFv	other Game/runtime provider	Game/Camera/CamHeliEffector.o	1	PC Game source absent
__ct__Q22MR19CurrentHeapRestorerFP7JKRHeap	resources	Game/Util/MemoryUtil.o	1	PC Game source absent
__ct__Q22MR30ProhibitSchedulerAndInterruptsFb	other Game/runtime provider	Game/Util/SchedulerUtil.o	1	PC Game source absent
__ct__Q29JGeometry8TVec3<f>FRC3Vec	J3D/model/animation	Game/Boss/Dodoryu.o	1	PC Game source absent
__ct__Q29JGeometry8TVec3<f>FRCQ29JGeometry8TVec3<f>	J3D/model/animation	Game/Animation/XanimeCore.o	1	PC Game source absent
__ct__Q29JGeometry8TVec3<f>Fv	J3D/model/animation	Game/Animation/XanimeCore.o	1	PC Game source absent
__cvt_fp2unsigned	compiler/MSL runtime	Runtime/runtime.o	1	native compiler/runtime mapping
__dl__FPv	resources	JSystem/JKernel/JKRHeap.o	1	PC JSystem/Aurora provider requires API audit
__dt__10PartsModelFv	J3D/model/animation	Game/Boss/BossBegomanHead.o	1	PC Game source absent
__dt__15J3DVertexBufferFv	J3D/model/animation	JSystem/J3DGraphBase/J3DVertex.o	1	PC JSystem/Aurora provider requires API audit
__dt__24MultiEmitterCallBackBaseFv	effects/audio	Game/Effect/MultiEmitterCallBack.o	1	PC Game source absent
__dt__7NameObjFv	LiveActor/NameObj/Nerve ABI	Game/NameObj/NameObj.o	1	PC Game source divergent, included
__dt__Q22MR19CurrentHeapRestorerFv	other Game/runtime provider	Game/Util/MemoryUtil.o	1	PC Game source absent
__dt__Q22MR30ProhibitSchedulerAndInterruptsFv	other Game/runtime provider	Game/Util/SchedulerUtil.o	1	PC Game source absent
__dv__Q29JGeometry8TVec3<f>CFf	J3D/model/animation	Game/Map/KCollision.o	1	PC Game source absent
__mi__Q29JGeometry8TVec2<f>CFRCQ29JGeometry8TVec2<f>	J3D/model/animation	Game/Map/Butterfly.o	1	PC Game source absent
__mi__Q29JGeometry8TVec3<f>CFRCQ29JGeometry8TVec3<f>	J3D/model/animation	Game/Animation/XanimeCore.o	1	PC Game source absent
__mi__Q29JGeometry8TVec3<f>CFv	Binder/KCL	Game/AreaObj/CollisionArea.o	1	PC Game source absent
__ml__Q29JGeometry8TVec3<f>CFf	J3D/model/animation	Game/Animation/XanimeCore.o	1	PC Game source absent
__nw__FUl	resources	JSystem/JKernel/JKRHeap.o	1	PC JSystem/Aurora provider requires API audit
__nw__FUlP7JKRHeapi	resources	JSystem/JKernel/JKRHeap.o	1	PC JSystem/Aurora provider requires API audit
__nwa__FUl	resources	JSystem/JKernel/JKRHeap.o	1	PC JSystem/Aurora provider requires API audit
__nwa__FUli	resources	JSystem/JKernel/JKRHeap.o	1	PC JSystem/Aurora provider requires API audit
__pl__Q29JGeometry8TVec2<f>CFRCQ29JGeometry8TVec2<f>	J3D/model/animation	Game/Camera/CameraDPD.o	1	PC Game source absent
__pl__Q29JGeometry8TVec3<f>CFRCQ29JGeometry8TVec3<f>	J3D/model/animation	Game/AreaObj/AreaFormDrawer.o	1	PC Game source absent
__ptmf_cmpr	compiler/MSL runtime	Runtime/ptmf.o	1	native compiler/runtime mapping
__ptmf_null	compiler/MSL runtime	Runtime/ptmf.o	1	native compiler/runtime mapping
__ptmf_scall	compiler/MSL runtime	Runtime/ptmf.o	1	native compiler/runtime mapping
__ptmf_test	compiler/MSL runtime	Runtime/ptmf.o	1	native compiler/runtime mapping
__vt__8J3DModel	J3D/model/animation	JSystem/J3DGraphAnimator/J3DModel.o	1	PC JSystem/Aurora provider requires API audit
_restgpr_14	compiler/MSL runtime	Runtime/runtime.o	1	native compiler/runtime mapping
_restgpr_19	compiler/MSL runtime	Runtime/runtime.o	1	native compiler/runtime mapping
_restgpr_22	compiler/MSL runtime	Runtime/runtime.o	1	native compiler/runtime mapping
_restgpr_23	compiler/MSL runtime	Runtime/runtime.o	1	native compiler/runtime mapping
_restgpr_24	compiler/MSL runtime	Runtime/runtime.o	1	native compiler/runtime mapping
_restgpr_25	compiler/MSL runtime	Runtime/runtime.o	1	native compiler/runtime mapping
_restgpr_26	compiler/MSL runtime	Runtime/runtime.o	1	native compiler/runtime mapping
_restgpr_27	compiler/MSL runtime	Runtime/runtime.o	1	native compiler/runtime mapping
_restgpr_28	compiler/MSL runtime	Runtime/runtime.o	1	native compiler/runtime mapping
_restgpr_29	compiler/MSL runtime	Runtime/runtime.o	1	native compiler/runtime mapping
_savegpr_14	compiler/MSL runtime	Runtime/runtime.o	1	native compiler/runtime mapping
_savegpr_19	compiler/MSL runtime	Runtime/runtime.o	1	native compiler/runtime mapping
_savegpr_22	compiler/MSL runtime	Runtime/runtime.o	1	native compiler/runtime mapping
_savegpr_23	compiler/MSL runtime	Runtime/runtime.o	1	native compiler/runtime mapping
_savegpr_24	compiler/MSL runtime	Runtime/runtime.o	1	native compiler/runtime mapping
_savegpr_25	compiler/MSL runtime	Runtime/runtime.o	1	native compiler/runtime mapping
_savegpr_26	compiler/MSL runtime	Runtime/runtime.o	1	native compiler/runtime mapping
_savegpr_27	compiler/MSL runtime	Runtime/runtime.o	1	native compiler/runtime mapping
_savegpr_28	compiler/MSL runtime	Runtime/runtime.o	1	native compiler/runtime mapping
_savegpr_29	compiler/MSL runtime	Runtime/runtime.o	1	native compiler/runtime mapping
acosEx__2MRFf	other Game/runtime provider	Game/Util/MathUtil.o	1	PC Game source byte-identical, excluded
addEffect__2MRFP9LiveActorPCc	effects/audio	Game/Util/EffectUtil.o	1	PC Game source absent
addHitSensorCallback__2MRFP9LiveActorPCcUlUsf	HitSensor	Game/Util/ActorSensorUtil.o	1	PC Game source byte-identical, excluded
addHitSensorEnemy__2MRFP9LiveActorPCcUsfRCQ29JGeometry8TVec3<f>	HitSensor	Game/Util/ActorSensorUtil.o	1	PC Game source byte-identical, excluded
addHitSensor__2MRFP9LiveActorPCcUlUsfRCQ29JGeometry8TVec3<f>	HitSensor	Game/Util/ActorSensorUtil.o	1	PC Game source byte-identical, excluded
addPrint__9FootPrintFRCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>b	J3D/model/animation	Game/Util/FootPrint.o	1	PC Game source absent
addShapePacket__12J3DMatPacketFP14J3DShapePacket	J3D/model/animation	JSystem/J3DGraphBase/J3DPacket.o	1	PC JSystem/Aurora provider requires API audit
addStarPiece__2MRFi	other Game/runtime provider	Game/Util/EventUtil.o	1	PC Game source byte-identical, excluded
addToSoundObjHolder__9LiveActorFv	effects/audio	Game/LiveActor/LiveActor.o	1	PC Game source divergent, included
addTransMtx__2MRFPA4_fRCQ29JGeometry8TVec3<f>	J3D/model/animation	Game/Util/MtxUtil.o	1	PC Game source absent
add__13HashSortTableFPCcUlb	other Game/runtime provider	Game/Util/HashUtil.o	1	PC Game source absent
add__Q29JGeometry8TVec3<f>FRCQ29JGeometry8TVec3<f>	J3D/model/animation	Game/AreaObj/AreaForm.o	1	PC Game source byte-identical, included
appear__9LiveActorFv	LiveActor/NameObj/Nerve ABI	Game/LiveActor/LiveActor.o	1	PC Game source divergent, included
asin__Q29JGeometry8TUtil<f>Ff	J3D/model/animation	Game/AreaObj/AreaForm.o	1	PC Game source byte-identical, included
atan2___Q25JMath18TAtanTable<1024,f>CFff	J3D/model/animation	JSystem/JMath/JMATrigonometric.o	1	PC JSystem/Aurora provider requires API audit
attackSensor__9LiveActorFP9HitSensorP9HitSensor	HitSensor	Game/LiveActor/LiveActor.o	1	PC Game source divergent, included
blendMtxRotateSlerp__2MRFPA4_fPA4_ffPA4_f	J3D/model/animation	Game/Util/MtxUtil.o	1	PC Game source absent
blendMtx__2MRFPA4_fPA4_ffPA4_f	J3D/model/animation	Game/Util/MtxUtil.o	1	PC Game source absent
calcActorAxisY__2MRFPQ29JGeometry8TVec3<f>PC9LiveActor	J3D/model/animation	Game/Util/ActorMovementUtil.o	1	PC Game source byte-identical, excluded
calcAndGetEdgeNormal__8TriangleFi	Binder/KCL	Game/Map/HitInfo.o	1	PC Game source absent
calcAndGetNormal__8TriangleFi	Binder/KCL	Game/Map/HitInfo.o	1	PC Game source absent
calcAndGetPos__8TriangleFi	Binder/KCL	Game/Map/HitInfo.o	1	PC Game source absent
calcAndSetBaseMtx__10PartsModelFv	J3D/model/animation	Game/LiveActor/PartsModel.o	1	PC Game source byte-identical, included
calcAndSetBaseMtx__9LiveActorFv	LiveActor/NameObj/Nerve ABI	Game/LiveActor/LiveActor.o	1	PC Game source divergent, included
calcAnimDirect__2MRFP9LiveActor	LiveActor/NameObj/Nerve ABI	Game/Util/LiveActorUtil.o	1	PC Game source byte-identical, excluded
calcAnimModelManager__2MRFP9LiveActor	J3D/model/animation	Game/Util/ModelUtil.o	1	PC Game source absent
calcAnim__10PartsModelFv	J3D/model/animation	Game/LiveActor/PartsModel.o	1	PC Game source byte-identical, included
calcAnim__7NameObjFv	LiveActor/NameObj/Nerve ABI	Game/NameObj/NameObj.o	1	PC Game source divergent, included
calcAnim__9LiveActorFv	LiveActor/NameObj/Nerve ABI	Game/LiveActor/LiveActor.o	1	PC Game source divergent, included
calcAnm__12XanimePlayerFUs	J3D/model/animation	Game/Animation/XanimePlayer.o	1	PC Game source absent
calcAreaMoveVelocity__2MRFPQ29JGeometry8TVec3<f>RCQ29JGeometry8TVec3<f>	J3D/model/animation	Game/Util/AreaObjUtil.o	1	PC Game source byte-identical, included
calcBBoardMtx__8J3DModelFv	J3D/model/animation	JSystem/J3DGraphAnimator/J3DModel.o	1	PC JSystem/Aurora provider requires API audit
calcBumpMtx__8J3DModelFv	J3D/model/animation	JSystem/J3DGraphAnimator/J3DModel.o	1	PC JSystem/Aurora provider requires API audit
calcCubeAxisZ__2MRFPC7AreaObjPQ29JGeometry8TVec3<f>	J3D/model/animation	Game/Util/AreaObjUtil.o	1	PC Game source byte-identical, included
calcCubePos__2MRFPC7AreaObjPQ29JGeometry8TVec3<f>	J3D/model/animation	Game/Util/AreaObjUtil.o	1	PC Game source byte-identical, included
calcCubeRotate__2MRFPC7AreaObjPQ29JGeometry8TVec3<f>	J3D/model/animation	Game/Util/AreaObjUtil.o	1	PC Game source byte-identical, included
calcCylinderCenterPos__2MRFPQ29JGeometry8TVec3<f>PC7AreaObj	J3D/model/animation	Game/Util/AreaObjUtil.o	1	PC Game source byte-identical, included
calcCylinderPos__2MRFPQ29JGeometry8TVec3<f>PC7AreaObj	J3D/model/animation	Game/Util/AreaObjUtil.o	1	PC Game source byte-identical, included
calcCylinderUpVec__2MRFPQ29JGeometry8TVec3<f>PC7AreaObj	J3D/model/animation	Game/Util/AreaObjUtil.o	1	PC Game source byte-identical, included
calcDiffTexMtx__8J3DModelFv	J3D/model/animation	JSystem/J3DGraphAnimator/J3DModel.o	1	PC JSystem/Aurora provider requires API audit
calcDistance__2MRFPC9HitSensorPC9HitSensorPQ29JGeometry8TVec3<f>	HitSensor	Game/Util/ActorMovementUtil.o	1	PC Game source byte-identical, excluded
calcDrawMtx__12J3DMtxBufferFUlRC3VecRA3_A4_Cf	J3D/model/animation	JSystem/J3DGraphAnimator/J3DMtxBuffer.o	1	PC JSystem/Aurora provider requires API audit
calcFogStartEnd__2MRFQ29JGeometry8TVec3<f>fPfPf	J3D/model/animation	Game/Util/ModelUtil.o	1	PC Game source absent
calcFrontVec__2MRFPQ29JGeometry8TVec3<f>PC9LiveActor	J3D/model/animation	Game/Util/ActorMovementUtil.o	1	PC Game source byte-identical, excluded
calcGravityVectorOrZero__2MRFPC7NameObjRCQ29JGeometry8TVec3<f>PQ29JGeometry8TVec3<f>P11GravityInfoUl	J3D/model/animation	Game/Util/GravityUtil.o	1	PC Game source byte-identical, excluded
calcGravityVector__2MRFPC9LiveActorPQ29JGeometry8TVec3<f>P11GravityInfoUl	J3D/model/animation	Game/Util/GravityUtil.o	1	PC Game source byte-identical, excluded
calcJ3DModel__2MRFP9LiveActor	J3D/model/animation	Game/Util/ModelUtil.o	1	PC Game source absent
